gene_id,loading_comp1_rss,loading_comp2_rss,loading_max,top_time_feature
Nfu_g_1_018839,0.04170652504972143,0.024955306673775362,0.02783437969103443,delta20minus10
Nfu_g_1_000449,0.04168193457335851,0.03697744881487067,0.028068594411616965,w20
Nfu_g_1_007878,0.041608287074872886,0.01605499569563038,0.03035993873757067,w20
Nfu_g_1_002610,0.04157469734180483,0.01788979257127137,0.0282172839988949,delta20minus10
Nfu_g_1_003972,0.04134274978859503,0.02823472851949052,0.029075149414259732,delta20minus10
Nfu_g_1_018749,0.0413273871122113,0.042672440425277715,0.03541491724195769,delta20minus10
Nfu_g_1_022088,0.04110564786368597,0.025653670293477277,0.028716485700710427,delta20minus10
Nfu_g_1_011269,0.04107053526117705,0.010069160822393551,0.032792280136235925,delta20minus10
Nfu_g_1_014812,0.04099534263569039,0.011148820099076499,0.030832329879825184,w20
Nfu_g_1_019569,0.040768932373263,0.028369228683241696,0.03361760108366846,w20
Nfu_g_1_007868,0.0407392220849917,0.016769852102741296,0.03263039909622695,w20
Nfu_g_1_020882,0.04072282389944289,0.02328896687846645,0.026451867144778474,delta20minus10
Nfu_g_1_018711,0.040709876817362906,0.04122358909578706,0.031857240027417355,delta20minus10
Nfu_g_1_021426,0.040670668163302504,0.010078112265043905,0.03066199487141961,w20
Nfu_g_1_005591,0.040660341928417276,0.007889799786533617,0.031796152226085526,delta20minus10
Nfu_g_1_013022,0.040638011672684285,0.033186992634224456,0.03207415219418336,w20
Nfu_g_1_023155,0.040507831653418716,0.03200588000550618,0.03157134856986025,w20
Nfu_g_1_008823,0.04049649095861093,0.02465718432663078,0.03158213156278655,w20
Nfu_g_1_021212,0.040482609565286314,0.03932290262516098,0.033080654514292665,w20
Nfu_g_1_021272,0.04047459759762163,0.03656936593778545,0.028188729214539687,delta20minus10
Nfu_g_1_014496,0.04045222163007399,0.038622768994483685,0.027402934108339074,delta20minus10
Nfu_g_1_003317,0.04041361491884748,0.02368177770691312,0.03289874937623119,w20
Nfu_g_1_017150,0.04038974492911728,0.08403215116271132,0.058930989477625144,w20
Nfu_g_1_006870,0.04035857104018699,0.019728734480238996,0.03079149608357247,w20
Nfu_g_1_021841,0.04017561373495917,0.0401318248059231,0.02836603316635089,delta20minus10
Nfu_g_1_006177,0.04000797425144542,0.015220025728678395,0.029171278986118234,w20
Nfu_g_1_004833,0.03994680440228676,0.008861279868633358,0.027805645871009116,w20
Nfu_g_1_008383,0.03993674233027721,0.05445339238568851,0.051577412684007604,w20
Nfu_g_1_020884,0.039922460737145365,0.037123259917738974,0.03169470650132021,w20
Nfu_g_1_012032,0.03981623307133015,0.026107575972008454,0.02716360540385646,delta20minus10
