probe_id,pc2_loading_rss,pc2_max_abs_loading,pc2_dominant_day,gene_title,gene_symbol,gene_id,go_process,go_function
1561880_PM_a_at,0.0038606516586390744,0.003132434250537803,D1,sialic acid binding Ig like lectin 16 (gene/pseudogene),SIGLEC16,400709,cell adhesion///innate immune response,carbohydrate binding
229748_PM_x_at,0.0038341840206144767,0.003024456998940879,D3,tektin 4 pseudogene 2,TEKT4P2,100132288,,
206700_PM_s_at,0.0038025738362288974,0.002739408492749139,D3,lysine demethylase 5D,KDM5D,8284,T cell antigen processing and presentation///histone H3-K4 demethylation///oxidation-reduction process,"DNA binding///histone demethylase activity///histone demethylase activity (H3-K4 specific)///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors///zinc ion binding"
240188_PM_at,0.0037918517330338773,0.002750682048642961,D1,,,,,
227671_PM_at,0.003783954508121511,0.003000880188757636,D3,X inactive specific transcript (non-protein coding),XIST,7503,,
206647_PM_at,0.003755104480771794,0.0029738137119478393,D0,hemoglobin subunit zeta,HBZ,3050,erythrocyte maturation///negative regulation of transcription from RNA polymerase II promoter///oxygen transport,heme binding///iron ion binding///oxygen binding///oxygen transporter activity///protein binding
214183_PM_s_at,0.0037436183977721024,0.0022429394632076396,D0,transketolase like 1,TKTL1,8277,glucose catabolic process///thiamine metabolic process,metal ion binding///transketolase activity
1570202_PM_a_at,0.00372912626392514,0.002445141155009909,D0,MKL1/myocardin like 2,MKL2,57496,"cell-cell adhesion///muscle organ development///positive regulation of striated muscle tissue development///positive regulation of transcription from RNA polymerase II promoter///smooth muscle cell differentiation///transcription, DNA-templated",RNA polymerase II transcription coactivator activity///cadherin binding involved in cell-cell adhesion///protein binding///transcription coactivator activity
231647_PM_s_at,0.0037198245730983726,0.0031607334818973833,D7,Fc receptor like 5,FCRL5,83416,negative regulation of B cell receptor signaling pathway///negative regulation of release of sequestered calcium ion into cytosol,
214983_PM_at,0.0037092324915554238,0.0030439921356798924,D3,"testis-specific transcript, Y-linked 15 (non-protein coding)",TTTY15,64595,,
242577_PM_at,0.0036584485520495145,0.0023561183142419262,D1,ankyrin repeat domain 57 pseudogene,LOC389834,389834,,
224066_PM_s_at,0.0036534311306025244,0.0025766687044067086,D7,homeodomain interacting protein kinase 2,HIPK2,28996,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator///PML body organization///SMAD protein signal transduction///adult walking behavior///anterior/posterior pattern specification///cellular response to hypoxia///embryonic camera-type eye morphogenesis///embryonic retina morphogenesis in camera-type eye///erythrocyte differentiation///eye development///intrinsic apoptotic signaling pathway///intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator///iris morphogenesis///lens induction in camera-type eye///modulation by virus of host morphology or physiology///negative regulation of BMP signaling pathway///negative regulation of neuron apoptotic process///negative regulation of transcription from RNA polymerase II promoter///neuron differentiation///peptidyl-serine phosphorylation///peptidyl-threonine phosphorylation///positive regulation of DNA binding///positive regulation of JNK cascade///positive regulation of angiogenesis///positive regulation of cell proliferation///positive regulation of protein binding///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of transforming growth factor beta receptor signaling pathway///protein phosphorylation///regulation of cell cycle///regulation of signal transduction by p53 class mediator///retina layer formation///smoothened signaling pathway///transcription, DNA-templated///transforming growth factor beta receptor signaling pathway///voluntary musculoskeletal movement",ATP binding///RNA polymerase II activating transcription factor binding///contributes_to RNA polymerase II transcription coactivator activity///SMAD binding///protein binding///protein kinase activity///protein serine/threonine kinase activity///protein serine/threonine kinase activity///transcription corepressor activity///virion binding
