gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
C2orf88,0.00337742750772173,0.020746815042180417,0.00337742750772173,0.020746815042180417,FALSE,FALSE
NFKBIZ,0.003377165622637643,0.018311826574451205,0.003377165622637643,0.018311826574451205,FALSE,FALSE
LOC100288410,0.003368519205842313,0.008239415030494001,0.003368519205842313,0.008239415030494001,FALSE,FALSE
TDRD12,-0.003366753621088858,0.008864332581661284,0.003366753621088858,0.008864332581661284,FALSE,FALSE
DIRAS1,-0.0033579827093537236,-0.014615958167198746,0.0033579827093537236,0.014615958167198746,FALSE,FALSE
IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV1-69 /// IGHV3-23 /// IGHV4-31 /// LOC100126583 /// LOC100290375,0.0033578019960702997,4.469533654218303e-4,0.0033578019960702997,4.469533654218303e-4,FALSE,FALSE
FLJ44606,0.003349102545833419,-0.01287834921459052,0.003349102545833419,0.01287834921459052,FALSE,FALSE
CYP51A1,-0.003348746720786475,0.00511569286484204,0.003348746720786475,0.00511569286484204,FALSE,FALSE
FBLIM1,-0.003345608089756784,-0.006121716975460422,0.003345608089756784,0.006121716975460422,FALSE,FALSE
LOC286272,0.0033405696454367226,-0.004433210563964485,0.0033405696454367226,0.004433210563964485,FALSE,FALSE
CNTNAP3B,-0.0033367081349920035,0.0051615608555858035,0.0033367081349920035,0.0051615608555858035,FALSE,FALSE
SLC6A16,0.003329625555049417,0.008479016176583653,0.003329625555049417,0.008479016176583653,FALSE,FALSE
THEMIS,-0.0033262074296059574,0.0017770403745752362,0.0033262074296059574,0.0017770403745752362,FALSE,FALSE
BCL6,0.0033250173076834846,0.017550567673611305,0.0033250173076834846,0.017550567673611305,FALSE,FALSE
TPD52,0.003323703678177101,0.01462701934723467,0.003323703678177101,0.01462701934723467,FALSE,FALSE
IER5,0.0033230785555879686,0.014882044896964628,0.0033230785555879686,0.014882044896964628,FALSE,FALSE
CCRL1,0.0033056465846614336,-0.00783084701876288,0.0033056465846614336,0.00783084701876288,FALSE,FALSE
