gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
LOC283270,-0.00859831655907738,-0.005577478192765034,0.00859831655907738,0.005577478192765034,FALSE,FALSE
LOC100288152,0.008582750165479415,0.010676149379009188,0.008582750165479415,0.010676149379009188,FALSE,FALSE
ZNF625,0.008580402649229093,-0.0031108381107703494,0.008580402649229093,0.0031108381107703494,FALSE,FALSE
IGHG1 /// ZCWPW2,0.00857485168018957,0.008909193979317817,0.00857485168018957,0.008909193979317817,FALSE,FALSE
psiTPTE22,-0.008574258239247443,-0.014337276889438475,0.008574258239247443,0.014337276889438475,FALSE,FALSE
LOC729970,0.008564026961222094,-0.015170368174239826,0.008564026961222094,0.015170368174239826,FALSE,FALSE
CDC42BPA,0.008557883277076545,4.4142373520452164e-4,0.008557883277076545,4.4142373520452164e-4,FALSE,FALSE
PPBP,0.008557582487596855,-0.007656582339742723,0.008557582487596855,0.007656582339742723,FALSE,FALSE
AKAP12,-0.008556749515049221,0.005773081157880119,0.008556749515049221,0.005773081157880119,TRUE,FALSE
TCEB3C,0.008551818631404428,-0.028970400892242263,0.008551818631404428,0.028970400892242263,FALSE,FALSE
SLC35B2,0.008542797493987024,0.02241716914873314,0.008542797493987024,0.02241716914873314,FALSE,FALSE
METTL6,-0.008540101589789626,-0.012236772025164912,0.008540101589789626,0.012236772025164912,FALSE,FALSE
ZNF14,0.008526008854757055,0.010874976312319849,0.008526008854757055,0.010874976312319849,FALSE,FALSE
ZFX /// ZFY,-0.0085239963679707,0.023254576873180114,0.0085239963679707,0.023254576873180114,FALSE,FALSE
C10orf125,-0.008522977442954905,0.0170577540493213,0.008522977442954905,0.0170577540493213,FALSE,FALSE
CEACAM21,-0.008516187491943456,0.022108607303871063,0.008516187491943456,0.022108607303871063,FALSE,FALSE
SLC19A1,-0.008512255100364446,0.01783899691063283,0.008512255100364446,0.01783899691063283,FALSE,FALSE
ATP8B4,-0.008501771535160471,0.02209827553571086,0.008501771535160471,0.02209827553571086,FALSE,FALSE
FAM30A /// KIAA0125,0.008499141107931258,-0.019018430621439323,0.008499141107931258,0.019018430621439323,FALSE,FALSE
SUV420H1,0.008490784655769017,-0.02123793657399343,0.008490784655769017,0.02123793657399343,FALSE,FALSE
NINL,-0.00848720811250556,-0.01525519533332967,0.00848720811250556,0.01525519533332967,FALSE,FALSE
C5orf51,0.008474143861773238,-0.0031090042802710293,0.008474143861773238,0.0031090042802710293,FALSE,FALSE
PPIL1,-0.008471927001108654,-0.026632710390637016,0.008471927001108654,0.026632710390637016,FALSE,FALSE
HCN4,-0.008470096365994537,-0.009217397516264488,0.008470096365994537,0.009217397516264488,FALSE,FALSE
MPO,0.008465266901415648,0.010292965606091022,0.008465266901415648,0.010292965606091022,FALSE,FALSE
CD69,-0.008460676300610825,0.008035887930154636,0.008460676300610825,0.008035887930154636,FALSE,FALSE
IFI27,0.00845781366489841,-0.0010715246660145483,0.00845781366489841,0.0010715246660145483,FALSE,FALSE
LOC100132884,-0.008454426226567948,-0.004552339238364485,0.008454426226567948,0.004552339238364485,FALSE,FALSE
KBTBD7,-0.008451578039521885,-0.013023561526037598,0.008451578039521885,0.013023561526037598,FALSE,FALSE
FAM169A,0.00845152263348496,0.002674666634712901,0.00845152263348496,0.002674666634712901,FALSE,FALSE
SERPINB5,0.008450492113279619,-0.0021608553300255353,0.008450492113279619,0.0021608553300255353,FALSE,FALSE
DIP2C,0.008446692010024256,-0.01141214912330823,0.008446692010024256,0.01141214912330823,FALSE,FALSE
BLVRB,-0.008445130582827974,0.00565858536092033,0.008445130582827974,0.00565858536092033,FALSE,FALSE
ZNF114,0.008444287183763012,4.716423925797574e-5,0.008444287183763012,4.716423925797574e-5,FALSE,FALSE
